Document,Transcription,Consignment,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5,Owner Name 1,Owner Name 2,Owner Name 3,Owner Name 4,Owner Name 5,Beneficiaries,Title,Subject/Genre,Subject/ICON,Object Type,Document Type,Object Notes,Inscription,Transaction,Date or Range,Document Origin,Residence,Room,Entry Date,Purchase Loc,Sale Date,Auction House,Sale Location,Purchase Price,KnoedShare Price,Dealer Cost,Sale Price,KnoedSale Price,Seller(s),Buyer(s),Joint Owner(s),Prev Owner(s),Prev Sales,Post Owner(s),Post Sales,Present Loc,Expert,Comm-Priseur,Lugt Number,Number of Lots,Notes,Catalog Loc(s),Photocopies,Editor Notes,Introduction,Archive Record,Related Doc(s),Further Notes,Bibliography,Appraiser,Notary,Pubication,Contributor,Other Invent(s),Annotations,Column 64,Column 65
"Sales Catalog Br-86, Lot 0134",,,"DUJARDIN, KAREL (Dutch) -- from catalog: Karel du Jardin",,,,,,,,,,,"A Sportsman with his Horse and Dogs  [small ... This picture represents a flat country of a rich verdure, with some little hills at a distance, and an horizon which descends very low.  One sees a huntsman just alighted from his horse, and near him, some dogs lying down, whilst he is putting a brace of hares into a bag.  The sky appears rainy, but the light strikes most happily on some parts]",,,Painting,,"on canvas, [10 h x 12 w]",,Unknown,,,,,,,1802 Mar 16 - 1802 Mar 18 (This Lot: Mar 18),Skinner and Dyke,"London, England, UK",,,,16-5 pounds,,"Desenfans, Noel Joseph;  -- from catalog: [Noel Desenfans]",,,,,,1873/03/01 LOCH 0017 ? NA,,,,6380,,,"The bracketed information in the title and the materials are given in the 1802 descriptive catalogue, no.132.",,,,,,,,,,,,,,1210 P. [i.e. 12 x 10 Panel] [RKDH],
"Sales Catalog Br-86, Lot 0162",,,"CUYP, AELBERT (Dutch) -- from catalog: Cuyp",,,,,,,,,,,"A large Landscape with Cattle and Figures  [The fore-ground of this, represents the highway, on the right of which, is a shepherdess, dressed in blue, a straw hat on her head, and her crook in her hand; she is walking in conversation with a countryman mounted on a mule loaded with panniers, who seems to be passing by chance -- a beautiful cluster of trees is in the centre, at the foot of which are two shepherds surrounded with sheep and their dogs -- the left is enriched with shrubs and bushes, lining the bank of a river which is on the other side of the road, and in which two men thrown rather into the back-ground, are angling.  At some little distance from the, are other figures at the door of a cottage beautifully surrounded by trees.  The next objects are some mountains]",,,Painting,,"on canvas, [5 h x 6 w]",,Sold,,,,,,,1802 Mar 16 - 1802 Mar 18 (This Lot: Mar 18),Skinner and Dyke,"London, England, UK",,,,189-0 pounds,,"Desenfans, Noel Joseph;  -- from catalog: [Noel Desenfans]",Elliott;  -- from catalog: Elliott,,,,,,"London, England, UK. Dulwich Picture Gallery, 124",,,6380,,,"The bracketed information in the title and the materials are given in the 1802 descriptive catalogue, no.142.",,,,,,,,,,,,,,65. [i.e. 6 x 5] -- 2 High trees & 2 shepds sitting und.r it & sheep & a dog -- a Man ridg on Ass ... w.h Panniers &c [RKDH],
"Sales Catalog Br-86, Lot 0191",,,TIZIANO VECELLIO (Italian) -- from catalog: Titian,,,,,,,,,,,"The Departure of Adonis for the Chase  [On the fore-ground of a large landscape, Adonis in his huntsman's cap and dress, is seen holding three dogs and his lance, and comes at the moment of his departure for the chase, to take leave of Venus who endeavours to retain him, but in vain, as Diana, who appears in the sky, is pouring her influence over Adonis.  Near them, under some trees, the infant Cupid lies asleep]",,,Painting,,"on canvas, [6 h x 7 w]",,Sold,,,,,,,1802 Mar 16 - 1802 Mar 18 (This Lot: Mar 18),Skinner and Dyke,"London, England, UK",,,,267-15 pounds,,"Desenfans, Noel Joseph;  -- from catalog: [Noel Desenfans]",Chalmers;  -- from catalog: Chalmers,,,,,,"London, England, UK. Dulwich Picture Gallery, 209 (as copy after Tiziano)",,,6380,,,"The bracketed information in the title and the materials are given in the 1802 descriptive catalogue, no.35.",,,,,,,,,,,,,,76. [i.e. 7 x 6] -- Venus naked ... [RKDH],
"Sales Catalog Br-239, Lot 0001",,,"MIEL, JAN (Flemish) -- from catalog: John Miel",,,,,,,,,,,A Picture of dogs,,,Painting,,"[on panel], [12 h x 15 w]",,Unknown,,,,,,,1804 Feb 22,Edwards (Edward),"London, England, UK",,,,,,"Bower, Dudley or others;  -- from catalog: Dudley Bower",,,,,,,,,,6744,,,,,,,,,,,,,,,,,15 12 P [i.e. 15 x 12 Panel] [CIL],
"Sales Catalog Br-239, Lot 0004",,,CARRACCI (Italian) -- from catalog: Carachi,,,,,,,,,,,Boys holding dogs,,,Painting,,,,Unknown,,,,,,,1804 Feb 22,Edwards (Edward),"London, England, UK",,,,,,"Bower, Dudley or others;  -- from catalog: Dudley Bower",,,,1802/03/25 LOED 0004 AS DOMENICHINO Br-88,,,,,,6744,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-332, Lot 0055",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,Dogs disturbing Swans from their Nest,,,Painting,,,,Unknown,,,,,,,1805 May 7 - 1805 May  8 (This Lot: May  7),Coxe (Peter),"London, England, UK",,,,,,"Boyd, John, Sir, 2nd Bart. or others;  -- from catalog: Sir John Boyd",,,,,,,,,,6945,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-321, Lot 0031",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,Dogs encountering a Wolf,,,Painting,,,,Unknown,,,,,,,1805 Apr 3 - 1805 Apr  4 (This Lot: Apr  3),Abbott (William),"London, England, UK",,,,2-10 pounds,,"Clark, Richard;  -- from catalog: Richard Clark",,,,,,,,,,6923,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-321, Lot 0106",,,"GRIMALDI, GIOVANNI FRANCESCO (Italian) -- from catalog: Grimaldi",,,,,,,,,,,"Dogs and Dead Game, a brilliant Picture",,,Painting,,,,Unknown,,,,,,,1805 Apr 3 - 1805 Apr  4 (This Lot: Apr  4),Abbott (William),"London, England, UK",,,,6-6 pounds,,"Clark, Richard;  -- from catalog: Richard Clark",,,,1801/01/16 LOCH 0068 (?) AS CASTIGLIONE Br-2,,,,,,6923,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-330, Lot 0061",,,"BOTH, JAN (Dutch) -- from catalog: J. Both",,,,,,,,,,,An upright Landscape and Figures with Dogs fighting -- a charming and finely preserved Picture,,,Painting,,upright,,Bought In,,,,,,,1805 May 4,Christie's,"London, England, UK",,,,34-13 pounds,,,,,,,,,,,,6944,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-328, Lot 0019",,,VONCK (Dutch) -- from catalog: Vonck,,,,,,,,,,,Dogs and Dead Game,,,Painting,,,,Sold,,,,,,,1805 Apr 26 - 1805 Apr 27 (This Lot: Apr 26),Christie's,"London, England, UK",,,,1-4 pounds,,Hervey;  -- from catalog: Hervey,Holland;  -- from catalog: Holland,,,,,,,,,6937,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-256, Lot 0010",,,"WARD, JAMES (British) -- from catalog: Ward",,,,,,,,,,,Dogs quarrelling,,,Painting,,,,Unknown,,,,,,,1804 Apr 25,Langdon (John),"London, England, UK",,,,,,,,,,,,,,,,6791,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-51, Lot 0012",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,"Two of Dogs and Dead Game, small",,,Painting,,,,Sold,,,,,,,1801 Jun 17 - 1801 Jun 17 (This Lot: Jun 17),Christie's,"London, England, UK",,,,0-11 pounds,,"Lamb, James Bland, Sir, 1st Bart.;  -- from catalog: Sir J Burgess",[Illegible];  -- from catalog: [Illegible],,,,,,,,,6285,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-45, Lot 0021",,,"TENIERS, DAVID (THE YOUNGER) (Flemish) -- from catalog: David Teniers",,,,,,,,,,,"A View in Flanders, with Sportsmen, Dogs, &c.",,,Painting,,,,Sold,,,,,,,1801 May 29 - 1801 May 30 (This Lot: May 29),Christie's,"London, England, UK",,,,3-10 pounds,,"Lichtervelde, Charles Joseph, graaf van;  -- from catalog: Graave Lichtervelde","Hill, Philip;  -- from catalog: Hill",,,,,,,,,6276,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-175, Lot 0144",,,"CUYP, AELBERT (Dutch) -- from catalog: Cuyp",,,,,,,,,,,"Farewell to the Cottage, Figures, &c.  A landscape neatly penciled, Cavalier, Horse, and Dogs  free, spirited, and correct -- a true cabinet picture",,,Painting,,,,Unknown,,,,,,,1803 Mar 28 - 1803 Mar 29 (This Lot: Mar 29),Squibb (George),"London, England, UK",,,,,,"Mosenau, James;  -- from catalog: J Mosenau",,,,,,,,,,6584,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-36, Lot 0092",,,"ROOS, PHILIPP PETER (ROSA DA TIVOLI) (German) -- from catalog: Rosa de Tivolli",,,,,,,,,,,"Dogs Baiting a Bull, a very capital and undoubted Picture",,,Painting,,,,Sold,,,,,,,1801 May 8 - 1801 May  9 (This Lot: May  8),Christie's,"London, England, UK",,,,7-7 pounds,,"Gwennap, Thomas, Senior;  -- from catalog: Gwennape",,,,,,,,,,6256,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-261, Lot 1291",,,"DOU, GERARD (Dutch) -- from catalog: Gerrard Dow",,,,,,,,,,,"The Muilman family, in a beautiful landscape, with dogs and dead game, esteemed in Holland, as one of the most valuable pictures of Gerrard Dow",,,Painting,,,,Unknown,,,,,,,1804 May 8 and following days,European Museum,"London, England, UK",,,,,,,,,,1804/02/00+ LOEU 1291 AS A.F. MEULEN Br-229-A,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-183, Lot 0026",,,"GRIFFIER, JAN (I) (Dutch) -- from catalog: Griffier",,,,,,,,,,,"Sportsmen with Dogs and Game, a pair",,,Painting,,,,Sold,,,,,,,1803 Apr 22 - 1803 Apr 23 (This Lot: Apr 23),Christie's,"London, England, UK",,,,3-13 pounds,,Treilet;  -- from catalog: Treilet,Wood;  -- from catalog: Wood,,,1803/01/29 LOCH 0025 (?) Br-156,,,,,,6608,,,The artist was presumably A. de Gryef and not J. Griffier (I).,,,,,,,,,,,,,,,
"Sales Catalog Br-31, Lot 0083",,,"GRYEF, ADRIAEN DE (Flemish) -- from catalog: Gryef",,,,,,,,,,,"Pair of Landscapes, with Dogs and dead Game",,,Painting,,,,Unknown,,,,,,,1801 May 2,Squibb (George),"London, England, UK",,,,,,"Rooker, Michael Angelo;  -- from catalog: Michael Angelo Rooker",,,,,,,,,,6252,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-24, Lot 0018",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,A very spirited Picture of Fighting Dogs,,,Painting,,,,Sold,,,,,,,1801 Apr 17 - 1801 Apr 18 (This Lot: Apr 17),Christie's,"London, England, UK",,,,1-1 pounds,,"Hamilton, William, Sir;  -- from catalog: Sir W Hamilton",Marsden;  -- from catalog: Marsden,,,,,,,,,6235,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-24, Lot 0042",,,"HACKERT, JOHANN GOTTLIEB (German) -- from catalog: Hackert",,,,,,,,,,,Three Dogs in a Landscape,,,Painting,,,,Sold,,,,,,,1801 Apr 17 - 1801 Apr 18 (This Lot: Apr 17),Christie's,"London, England, UK",,,,1-9 pounds (for lots 41 & 42),,"Hamilton, William, Sir;  -- from catalog: Sir W Hamilton",West;  -- from catalog: West,,,,,,,,,6235,,,This lot was sold with lot 41 by an anonymous artist.,,,,,,,,,,,,,,,
"Sales Catalog Br-14, Lot 0006",,,HACKAERT (Dutch or German) -- from catalog: Hackert,,,,,,,,,,,Dogs rousing a Wild Boar,,,Painting,,,,Sold,,,,,,,1801 Feb 20 - 1801 Feb 21 (This Lot: Feb 21),Christie's,"London, England, UK",,,,1-4 pounds,,"Davenport, John;  -- from catalog: John Davenport",Seguier;  -- from catalog: Seguier,,,,,,,,,6202,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-185, Lot 0019",,,"HONDIUS, ABRAHAM (Dutch) -- from catalog: Hondius",,,,,,,,,,,"Sportsmen, Dogs and Game",,,Painting,,,,Sold,,,,,,,1803 Apr 29 - 1803 Apr 30 (This Lot: Apr 29),Christie's,"London, England, UK",,,,1-5 [?] pounds,,"Holcroft, Thomas;  -- from catalog: [Thomas Holcroft]",,,,1799/03/09 LOPH 0031 Br-A2396,,,,,,6617,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-11, Lot 0047",,,"DUJARDIN, KAREL (Dutch) -- from catalog: K.D. Jardin",,,,,,,,,,,"One -- A small upright landscape.  A white horse standing near a boy, with dogs and dead game; a delicate and truly desireable picture",,,Painting,,"upright, [10 h x 8 w]",,Bought In,,,,,,,1801 Feb 14,Christie's,"London, England, UK",,,,48-6 pounds,,"Woodhouse, John;  -- from catalog: John Woodhouse",,,,,,,,,,6197,,,,,,,,,,,,,,,,,10 h. 8 & fine blue sky. In Case. [MMNY],
"Sales Catalog Br-96, Lot 0028",,,"RUBENS, PETER PAUL (Flemish) -- from catalog: Rubens",,,,,,,,,,,A Landscape with a Sportsman and Dogs,,,Painting,,,,Sold,,,,,,,1802 Apr 9 - 1802 Apr 10 (This Lot: Apr  9),Christie's,"London, England, UK",,,,1-6 pounds,,"West, Capt.;  -- from catalog: Captn West",,,,,,,,,,6401,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-7, Lot 0018[a]",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,"Two, Dutch Wake and Dogs and Heron (THIS LOT: Dutch Wake; lot 18[b] by F. Snyders)",,,Painting,,,,Sold,,,,,,,1801 Feb 4,King (Thomas),"London, England, UK",,,,1-6 pounds (for lots 18[a] & 18[b]),,"Locker, William;  -- from catalog: William Locker",Hating [?];  -- from catalog: Hating [?],,,,,,,,,6189,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-7, Lot 0018[b]",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,"Two, Dutch Wake and Dogs and Heron (THIS LOT: Dogs and Heron; lot 18[a] by Anonymous)",,,Painting,,,,Sold,,,,,,,1801 Feb 4,King (Thomas),"London, England, UK",,,,1-6 pounds (for lots 18[a] & 18[b]),,"Locker, William;  -- from catalog: William Locker",Hating [?];  -- from catalog: Hating [?],,,,,,,,,6189,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-96, Lot 0070",,,"RUBENS, PETER PAUL (Flemish) -- from catalog: Rubens",,,,,,,,,,,"Diana asleep, with Game and Dogs",,,Painting,,,,Sold,,,,,,,1802 Apr 9 - 1802 Apr 10 (This Lot: Apr  9),Christie's,"London, England, UK",,,,4-4 pounds,,"West, Capt.;  -- from catalog: West",Hurst;  -- from catalog: Hurst,,,,,,,,,6401,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-96, Lot 0095[a]",,,[ANONYMOUS - MODERN] (Unknown) -- from catalog: Modern,,,,,,,,,,,"A Landscape with Dogs, Modern, and a small Mountainous Ditto (THIS LOT: A Landscape with Dogs; lot 95[b] by Italian)",,,Painting,,,,Sold,,,,,,,1802 Apr 9 - 1802 Apr 10 (This Lot: Apr  9),Christie's,"London, England, UK",,,,1-2 pounds (for lots 95[a] & 95[b]),,"West, Capt.;  -- from catalog: West",Repington;  -- from catalog: Repington,,,,,,,,,6401,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-96, Lot 0095[b]",,,[ITALIAN] (Italian) -- from catalog: Italian,,,,,,,,,,,"A Landscape with Dogs, Modern, and a small Mountainous Ditto (THIS LOT: A small Mountainous Landscape; lot 95[a] by Anonymous-Modern)",,,Painting,,,,Sold,,,,,,,1802 Apr 9 - 1802 Apr 10 (This Lot: Apr  9),Christie's,"London, England, UK",,,,1-2 pounds (for lots 95[a] & 95[b]),,"West, Capt.;  -- from catalog: West",Repington;  -- from catalog: Repington,,,,,,,,,6401,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-186, Lot 0049",,,"GAEL, BAREND (Dutch) -- from catalog: Berent Gaal",,,,,,,,,,,"Venus and Adonis, with Dogs, in a well painted landscape",,,Painting,,[3 1/2 h x 3 w],,Sold,,,,,,,1803 Apr 30,Farebrother (Charles),"London, England, UK",,,,6-16 pounds,,Birtels;  -- from catalog: Birtels,Watson [?];  -- from catalog: Watsn [?],,,,,,,,,6618,,,,,,,,,,,,,,,,,3 1/2 h 3 [AAP],
"Sales Catalog Br-95, Lot 0022",,,"HONDIUS, ABRAHAM (Dutch) -- from catalog: Hondius",,,,,,,,,,,"Dogs, &c.",,,Painting,,[2 h x 2 1/2 w],,Sold,,,,,,,1802 Apr 7 - 1802 Apr  7 (This Lot: Apr  7),Edwards (Edward),"London, England, UK",,,,1-8 pounds,,"Peyton, Richard or others;  -- from catalog: Richard Peyton",Walker;  -- from catalog: Walkr,,,,,,,,,6398,,,,,,,,,,,,,,,,,2 1/2 2 unfd. [i.e. 2 1/2 x 2 unframed] [CIL],
"Sales Catalog Br-95, Lot 0049",,,WOUWERMAN (Dutch) -- from catalog: Wouvermans,,,,,,,,,,,"Going out in the morning, with horses and dogs, a landscape",,,Painting,,[12 h x 14 w],,Sold,,,,,,,1802 Apr 7 - 1802 Apr  7 (This Lot: Apr  7),Edwards (Edward),"London, England, UK",,,,3-3 pounds,,"Peyton, Richard or others;  -- from catalog: Richard Peyton",Partington [?];  -- from catalog: Partn,,,,,,,,,6398,,,,,,,,,,,,,,,,,1412. [i.e. 14 x 12] [CIL],
"Sales Catalog Br-191, Lot 0060",,,"QUADAL, MARTIN FERDINAND (Austrian) -- from catalog: Quadal",,,,,,,,,,,Dogs and Fox,,,Painting,,,,Unknown,,,,,,,1803 May 9,Vallance (James),"Dublin, Ireland",,,,,,"Mangin, Alexander or Ashford, William or others; Ashford, William or Mangin, Alexander or others;  -- from catalog: Alexander Mangin; William Ashford",,,,,,,,,,6624a,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-100, Lot 0092",,,"MORLAND, GEORGE (British) -- from catalog: Morland",,,,,,,,,,,"Dogs, a spirited Picture",,,Painting,,,,Sold,,,,,,,1802 Apr 17 - 1802 Apr 17 (This Lot: Apr 17),Christie's,"London, England, UK",,,,9-9 pounds,,"Henderson, John (Montague St.);  -- from catalog: [John Henderson]",,,,,,,,,,6410,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-281, Lot 0002[a]",,,"ABBOTT, LEMUEL FRANCIS (British) -- from catalog: Abbott",,,,,,,,,,,A Venetian Lady and a Child with Dogs (THIS LOT: A Venetian Lady),,,Painting,,,,Sold,,,,,,,1804 Jun 16,Christie's,"London, England, UK",,,,0-5 pounds (for lots 2[a] & 2[b]),,"Abbott, Lemuel Francis;  -- from catalog: Abbott",,,,,,,,,,6828,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-102, Lot 0062",,,INNDER [UNIDENTIFIED] (Unknown) -- from catalog: Innder,,,,,,,,,,,Dogs,,,Painting,,,,Unknown,,,,,,,1802 Apr 22 - 1802 Apr 23 (This Lot: Apr 23),Evill,"Bath, England, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-201, Lot 0061",,,"DYCK, ANTHONIE VAN (Flemish) -- from catalog: Van Dyck",,,,,,,,,,,The 3 Children of King Charles I.,,,Painting,,"[square], [4 1/2 h x 4 1/2 w]",,Sold,,,,,,,1803 Jun 6 - 1803 Jun  7 (This Lot: Jun  7),Christie's,"London, England, UK",,,,4-14 pounds,,"Godolphin, Francis Godolphin, 2nd Earl of;  -- from catalog: Francis, Earl of Godolphin","Bradshaw, Cavendish;  -- from catalog: Cav Bradshaw",,,,,,,,,6650,,,,,,,,,,,,,,,,,4 1/2 Sq. -- w 2 Dogs. [MMNY],
"Sales Catalog Br-206, Lot 0064",,,"GAINSBOROUGH, THOMAS (British) -- from catalog: Gainsborough",,,,,,,,,,,"Dogs pursuing a Fox, capital",,,Painting,,,,Unknown,,,,,,,1803 Jun 17 - 1803 Jun 18 (This Lot: Jun 18),Christie's,"London, England, UK",,,,6-0 pounds,,Hunter;  -- from catalog: Hunter,,,,1802/03/27 LOCH 0099 Br-91,,1810/06/04+ LODEB 0062 Br-780,"London, England, UK. Kenwood, Iveagh Bequest",,,6655,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-206, Lot 0069",,,"FYT, JAN (Flemish) -- from catalog: Fyt",,,,,,,,,,,"Dogs and Dead Game, a capital Picture",,,Painting,,,,Sold,,,,,,,1803 Jun 17 - 1803 Jun 18 (This Lot: Jun 18),Christie's,"London, England, UK",,,,10-10 pounds,,"Scrope, Joshua;  -- from catalog: Joshua Scrope","Beauchamp, William Lygon, 1st Earl of;  -- from catalog: Lygon",,,,,1845/04/05 LOCH 0005 ? AS WEENIX NA,,,,6655,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-222, Lot 0094[a]",,,"HONDIUS, ABRAHAM (Dutch) -- from catalog: Hondius",,,,,,,,,,,"Dogs hunting a Heron, two General Officers on Horseback, and a Ship on Fire (THIS LOT: Dogs hunting a Heron; lots 94[b] & 94[c] by Anonymous)",,,Painting,,,,Sold,,,,,,,1803 Nov 28 - 1803 Nov 29 (This Lot: Nov 28),Christie's,"London, England, UK",,,,1-1 pounds (for lots 94[a-c]),,Turner Senior;  -- from catalog: Turner,Barnett tall;  -- from catalog: Barnett (tall),,,1802/06/19 LOCH2 0007 Br-129,,,,,,6714,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-222, Lot 0094[b]",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,"Dogs hunting a Heron, two General Officers on Horseback, and a Ship on Fire (THIS LOT: Two General Officers on Horseback; lot 94[a] by A. Hondius)",,,Painting,,,,Sold,,,,,,,1803 Nov 28 - 1803 Nov 29 (This Lot: Nov 28),Christie's,"London, England, UK",,,,1-1 pounds (for lots 94[a-c]),,Turner Senior;  -- from catalog: Turner,Barnett tall;  -- from catalog: Barnett (tall),,,,,,,,,6714,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-222, Lot 0094[c]",,,[ANONYMOUS] (Unknown) -- from catalog: [Anonymous],,,,,,,,,,,"Dogs hunting a Heron, two General Officers on Horseback, and a Ship on Fire (THIS LOT: A Ship on Fire; lot 94[a] by A. Hondius)",,,Painting,,,,Sold,,,,,,,1803 Nov 28 - 1803 Nov 29 (This Lot: Nov 28),Christie's,"London, England, UK",,,,1-1 pounds (for lots 94[a-c]),,Turner Senior;  -- from catalog: Turner,Barnett tall;  -- from catalog: Barnett (tall),,,,,,,,,6714,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-118, Lot 0031",,,"WYCK, JAN (Dutch) -- from catalog: Wyke",,,,,,,,,,,Sportsmen and Dogs,,,Painting,,,,Sold,,,,,,,1802 May 24 - 1802 Jun  1 (This Lot: May 29),King (Thomas),"London, England, UK",,,,0-13 pounds,,"Pickard, Leonard;  -- from catalog: Leonard Pickard",Money;  -- from catalog: Money,,,,,,,,,6446,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-118, Lot 0038",,,"STOOP, JAN PIETER (Dutch) -- from catalog: Peter Stoop",,,,,,,,,,,Landscape with Horses and Dogs,,,Painting,,,,Sold,,,,,,,1802 May 24 - 1802 Jun  1 (This Lot: May 29),King (Thomas),"London, England, UK",,,,1-10 pounds,,"Pickard, Leonard;  -- from catalog: Leonard Pickard",Barnett;  -- from catalog: Barnet,,,,,,,,,6446,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-240, Lot 0035",,,"GRYEF, ADRIAEN DE (Flemish) -- from catalog: A. Gryef",,,,,,,,,,,A Huntsman reposing after the labours of the day; beside him are his two dogs and different sorts of game; in the distance a huntsman riding; the whole painted with great spirit on pannel,,,Painting,,"on panel, 9 1/2 x 7 1/2",,Unknown,,,,,,,1804 Feb 24,Martin (William),"Edinburgh, Scotland, UK",,,,,,"Geddes, David;  -- from catalog: David Geddes",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-119, Lot 0001",,,SARTORIUS (British) -- from catalog: Sartorius,,,,,,,,,,,"Horses and Dogs, Portraits, a Pair",,,Painting,,[2 h x 2 3/4 w],,Sold,,,,,,,1802 May 25 - 1802 May 25 (This Lot: May 25),Coxe (Peter),"London, England, UK",,,,1-5 pounds,,"Nesbitt, John;  -- from catalog: Nesbitt",Houghton;  -- from catalog: Houghton,,,,,,,,,6448,,,,,,,,,,,,,,,,,2 3/4 2. [i.e. 2 3/4 x 2] [MMNY],
"Sales Catalog Br-123, Lot 0002",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,A Study of Dogs,,,Painting,,,,Sold,,,,,,,1802 May 29 - 1802 May 29 (This Lot: May 29),Christie's,"London, England, UK",,,,0-10 pounds,,"Mildmay, Henry Paulet St.John-, Sir, 3rd Bart.;  -- from catalog: S H Mildmay",Clarke (Strand);  -- from catalog: Clark S,,,,,,,,,6454,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-281, Lot 0002[b]",,,"ABBOTT, LEMUEL FRANCIS (British) -- from catalog: Abbott",,,,,,,,,,,A Venetian Lady and a Child with Dogs (THIS LOT: A Child with Dogs),,,Painting,,,,Sold,,,,,,,1804 Jun 16,Christie's,"London, England, UK",,,,0-5 pounds (for lots 2[a] & 2[b]),,"Abbott, Lemuel Francis;  -- from catalog: Abbott",,,,,,,,,,6828,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-148, Lot 0078",,,"FYT, JAN (Flemish) -- from catalog: Fyt",,,,,,,,,,,Ducks pursued by Dogs.  Companion to No. 72 (companion to lot 72),,,Painting,,,,Unknown,,,,,,,1802 Dec 13 - 1803 May 14,Rigaud (John Francis),"London, England, UK",,,,,,"Prinsep, John;  -- from catalog: [John Prinsep]",,,,,,1806/05/31 LOCH 0054 OR 0055 Br-416,,,,,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-264, Lot 0135",,,"FYT, JAN (Flemish) -- from catalog: Jan Fyt",,,,,,,,,,,Two dogs fighting,,,Painting,,"on canvas, 3' 8 h x 5' 2 w",,Unknown,,,,,,,1804 May 14 and following days,Truchsessian Gallery,"London, England, UK",,,,,,"Waldburg-Zeil-Wurzach, Joseph Franz Anton, Graf von;  -- from catalog: Truchsessian Gallery",,,,,,1806/03/28 LOSK 0127 Br-380,,,,,,,The materials and dimensions are given in the 1803 descriptive catalogue.,,,,,,,,,,,,,,,
"Sales Catalog Br-264, Lot 0231[a]",,,"SNYDERS, FRANS (Flemish) -- from catalog: F. Snyders",,,,,,,,,,,"Wild boar attacked by dogs, Stag attacked by dogs (THIS LOT: Wild boar attacked by dogs)",,,Painting,,"on canvas, 6' 5 h x 10' 10 w",,Unknown,,,,,,,1804 May 14 and following days,Truchsessian Gallery,"London, England, UK",,,,,,"Waldburg-Zeil-Wurzach, Joseph Franz Anton, Graf von;  -- from catalog: Truchsessian Gallery",,,,,,,,,,,,,The materials and dimensions are given in the 1803 descriptive catalogue.,,,,,,,,,,,,,,,
"Sales Catalog Br-264, Lot 0373",,,"FYT, JAN (Flemish) -- from catalog: Fyt",,,,,,,,,,,Diana and nymphs with dogs and game,,,Painting,,"on canvas, 5' 5 h x 8' w",,Unknown,,,,,,,1804 May 14 and following days,Truchsessian Gallery,"London, England, UK",,,,,,"Waldburg-Zeil-Wurzach, Joseph Franz Anton, Graf von;  -- from catalog: Truchsessian Gallery",,,,,,2015/10/20 WDOR 0079 (?) NA,,,,,,,The materials and dimensions are given in the 1803 descriptive catalogue.,,,,,,,,,,,,,,,
