PDF_Page,Page_Num,Item_Num,On_Web,Artist_Name,Artist_Info,Desc_Num,Description,Title_  Modifier,Handwritten_Notes,Genre,Subject,Object_Type,Material,Dimensions,Image,Notes,Date_of_Sale,Verbatim_Seller,Estimated _Price,Starting _Price,Frame _Price,Selling _Price,Currency,Verbatim_Buyer,Transaction,Main Heading
251,251,57,NO,Bernardino Luini,Lombard-Milanese School,57,"Born in Luino, 1475-80 or 1460-70; died in Milan after 1533. Called, by Vasari, del Lupino ; pupil of Civerchio and of Leonardo da V^inci. His most important works  in Milan are the frescoes in the Monastero Maggiore. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
252,252,57a,YES,Bernardino Luini,,57a.,"""The Mystic Marriage Of St. Catherine"" The Virgin appears near the middle of the picture holding the Child Christ in  her arms. Over her head and shoulders is thrown a dark green cloak. The  Child has a ring in its right hand and a ball in its left. The ring is being  ^ placed upon the second finger of the right hand of St. Catherine, which is held  toward the Infant. To the right is another female figure. On the neck of  the dress of the figure to the right is the following inscription : "" S. Doratea  Ora - ""  From the collection of Comte Casali of Mantua.  Panel, 22,5 in. long 28,25 in. high. ",,,,,Painting,Wood,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
255,255,58,NO,Jan van Mabuse,Flemish School,58,"Born at Mabeuge about 1470; died in Antwerp about 1541. Real name Jan Gossart or Gossaert. History painter. Admitted in 1503 to Guild in Antwerp, where he prac-  ticed until 1507, when he went to Italy and was the first artist of the Netherlands who  visited that country. He was in Rome from 1508 to 15 13 in the service of Philip,  natural son of Philip the Good. Before he went to Italy he painted chiefly religious  subjects. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
256,256,58a,YES,Jan van Mabuse,,58a.,"""Madonna And Child"" This is a bust of the Madonna with the Christchild in her arms. She has  reddish blond hair, which falls over her shoulders. Over her head is a lace  covering. A blue cloak thrown open at the neck envelops her form, and the  one arm shown discloses a red sleeve.  Panel, 7,5 in. long by 9,75 in. high. ",,,,,Painting,Wood,"7,5 in long x 9,75 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
259,259,59,YES,Hans Memling,Flemish School,59,"Born at Mayence (?) about 1425 ; died at Bruges on August 11, 1495. Pupil of Rogier Van der Weyden.  According to a popular legend Memling was admitted as a sick soldier into the Hospital  of St. John at Bruges after the Battle of Nancy, and in gratitude for the care bestowed  upon him painted a celebrated wooden shrine to St. Ursula before October 29, 1489,  with miniatures representing six scenes from the legend of the saint. ",,,,,Miniature,yy,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
260,260,59a,YES,Hans Memling,,59a.,"""Virgin And Child Enthroned"" The Virgin rests on a seat at the right-hand side of the picture. She wears a  red dress, and over her shoulders is a blue cloak. Her hair is of a reddish color.  St. John, wearing a red cloak, is to her left, with the book, the cross, and the  lamb. Landscape with a city in the distance.  From the collection of Rajicevitch, Bevamo, near Milan.  Panel, 14,75 in. long by 17,75 in. high. ",,,Landscape,,Painting,Wood,"14,75 in long x 17,75 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
263,263,60,NO,Gabriel Metsu,Dutch School,60,"Born in Leyden in 1630; died in Amsterdam, buried October 24, 1667. Genre por- trait painter. Son of, and probably first instructed by, Jacob Metsu. He was married in 1658, and took the freedom of the city of Leyden in 1659. He painted chiefly scenes  from the upper classes of society. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
264,264,60a,YES,Gabriel Metsu,,60a.,"""The Letter"" A young woman, richly dressed in silk, and velvet, and jeweled earrings, is  seated at a table. Her jacket is edged with ermine, and the covering of her  head - which is so arranged as to show a part of her front hair - is a soft,  white drapery. The table is covered with a red embroidered cloth, and an  inkstand and sheet of paper are before her. She slightly inclines toward the  table, and her right arm and left hand are resting upon it. In her right hand  she holds a quill pen, and seems ready to continue the interrupted letter. Her  eyes have an amused yet interesting expression, contemplative of what she is  writing. To the right is a spaniel looking up, as if waiting recognition.  From the collection of the Marquis Da Foss of Lisbon.  Signed in the upper left-hand corner : "" G. Metsu.""  Panel, 13 in. long by 15,5 in. high. ",,,,,Drawing,Ink,"13 in long x 15,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
268,268,61,YES,Gabriel Metsu,,61,"""Woman Cleaning Carrots"" This picture represents a woman sitting at a table where she is cleaning carrots.  A wooden pail stands in front of her with some carrots in it. Two carrots are  lying on the table and one is in the woman's hand. There is a dish in front  of her with three fishes.  Signed in the lower right-hand corner : "" G. Metsu.""  Panel, 9,5 in. long by 11 in. high. ",,,,,Painting,Wood,"9,5 in long x 11 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
271,271,62,NO,Frans van Mieris,Dutch School,62,"Born at Delft, 1635 ; died at Leyden, 1681. He was one of twenty-three children of his father, who was a lapidary. In early youth he was apprenticed to a glass painter,  Abraham Torenvliet, whose studio he abandoned for that of Gerard Dou, who called  him the prince of his pupils. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
272,272,62a,YES,Frans van Mieris,,62a.,"""Boy Blowing Bubbles"" A boy blowing bubbles is looking out of a window, and a woman is standing  back of him. On the window-sill is a red hat with a feather, also a vase in  which is a sunflower. Hanging up on the right-hand side is a bird cage. The  painting is round at the top.  Signed inscription under window: "" M.Dc.Lxiii.""  Copper, 71,25 in. long by 10 in. high. ",,,,,Painting,Copper,"71,25 in long x 10 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
276,276,63,YES,Frans van Mieris,,63,"""Portrait Of A Lady"" Before a mirror stands a lady in evening costume apparently selecting the  jewels she shall wear from the casket which an Ethiopian serving-maid holds  in her hands. The lady's right hand is raised to her shoulder, and she studies  the effect of the jewel which she holds in it, A rich wrap of crimson cloth  and fur hangs over the chair in front of her, and a rich cloth or rug covers  the table, on which are another casket and a letter. The face of the servant  is raised as if expecting some directions. Through an arched doorway in  the background a man is seen sitting at a table reading.  Signed in upper right-hand corner : "" Mieris, 166.""  Panel, 9,5 in. long by 12,75 in. high. ",,,Portrait,,Painting,Wood,"9,5 in long x 12,75 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
279,279,64,NO,Abraham Mignon,Dutch School,64,"Born at Frankfort, in June, 1640. Died at Wetzlar, in 1679. Taken to Holland in his twentieth year by Jacob Marrel, who placed him with J. Davidsz de Heem,who perfected  him in the painting of flowers and fruits. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
280,280,64a,YES,Abraham Mignon,,64a.,"""Fruit' To the right of this subject is the stump of a small tree covered with moss.  Around the bottom of it two snakes are entwined, and near by is a canteloupe,  fastened to which is a snail. On top of the canteloupe is a bunch of grapes,  and beside it are two lizards, one of which is on its back; also, a cucumber,  an ear of corn, several peaches, and a quantity of citron and nuts. To the left  are two mice. On a pedestal are grapes, citron, plums, and apricots ; and at  the top of the picture are a butterfly and three birds.  From the collection of Baron Pret, Antwerp.  Canvas, 28,5 in. long by 35,5 in. high. ",,,,,Painting,Canvas,"28,5 in long x 35,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
283,283,65,NO,Aert van Der Neer,Dutch School,65,"Born at Amsterdam, 1603 ; died there, November 9, 1677. Landscape painter. Was a friend of Cuyp, who occasionally supplied the figures in his landscapes, and an  admirable painter of moonlight and twilight scenes. He represented for the most part  canals with towns on their banks, lighted by the moon, and no other painter has depicted  the lights and shadows incident to such scenes with so much truthfulness and clearness.  He painted conflagrations also with equal truth. ",,,Landscape,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
284,284,65a,YES,Aert van Der Neer,,65a.,"""Dutch Channel By Moonlight"" A dark Strip of ground, near the water-edge, introduces the foreground of this picture, and on it two fishing-nets are stretched, held by stakes. Between the nets is a withered tree, which forms a wonderful contrast with the reflection of  the moon in the water. The river, bordered right and left with small houses,  gardens, and a church, reaches out in the distance. The entire scene has the  horizon for its background, where another church with steeple looms up. The  moon shines brilliantly in the sky, and the artist has surrounded it with golden  light and gold-fringed clouds, all of which are reflected in the eddying river  near its banks. Numerous boats are sailing on the water.  Signed in lower right-hand corner : "" A. V. N.""  Panel, 16,75 in. long by 12,5 high.  Purchased from Charles Sedelmeyer, 1890. ",,,,,Painting,Wood,"16,75 in long x 12,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
288,288,66,YES,Aert van Der Neer,,66,"""Twilight"" A soft, red tone covers this landscape. In the centre is a river winding its  crooked way inland, with small towns on either side. In the foreground a  man, woman, and little boy are shown; the former is arranging a net on  stakes. To the left is a clump of large trees, and to the right several houses  are seen, while cows and horses are shown in the distance.  From the Gervier collection ; also from the Million collection.  Signed in the lower right-hand corner : ** A. V. D. N.""  Panel, 29,5 in. long by 19,5 in. high. ",,,Landscape,,Painting,Wood,"29,5 in long x 19,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
291,291,67,NO,Eglon Hendrick van Der Neer,Dutch School,67,"Born in Amsterdam, 1643. Died in Diisseldorf, May 3, 1703. Genre, portrait, and landscape painter. Pupil of his father, Aert van der Neer ; then pupil of Jacob van  Loo. His favorite and most successful subjects were elegantly attired ladies. He went  to France in 1653, and later to Rotterdam, Amsterdam, and Brussels, and in 1687 to the  Court of the Elector of the Palatinate, to whom, as well as to Charles 11. of Spain, he  was court painter. ",,,Landscape,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
292,292,67a,YES,Eglon Hendrick van Der Neer,,67a.,"""Lady And Child"" A lady dressed in white satin, her dress decollete, occupies the centre of the  picture. She has light hair, and holds her dress slightly raised with her left  hand, while with her right she takes an ostrich plume of red color from her  Ethiopian servant. Around her neck she wears a string of pearls. A little  child has hold of her left hand, and is dressed in a blue gown which opens  below the waist, showing the skirt beneath. Her neck is adorned with a coral  necklace, and her head with a blue ostrich feather. A little spaniel runs play-  fully before them. In the background is shown heavy drapery over the en-  trance to the house, and a marble terrace with trees beyond.  Copper, 19,75 in. long by 22 in. high. ",,,,,Painting,Copper,"19,75 in long x 22 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
295,295,68,NO,Adriaen van Ostade,Dutch School,68,"Born in Haarlem; baptized December lo, 1610; died in Haarlem, April 27, 1685. Pupil of Frans Hals, and after 1640 developed under Rembrandt's influence. His  family took the name of Ostade from a village now called Ostedt, in the environs of  Eindhoven, whence his father, a weaver, removed to Haarlem, 1605. Adriaen at a  very early age became the favorite pupil of Frans Hals. He married twice, and died a  widower. He had many pupils, one of whom was the famous Jan Steen. He was not  only an inimitable painter of rustic scenes, but also an excellent etcher. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
296,296,68a,YES,Adriaen van Ostade,,68a.,""" The Old Toper"" The subject is sitting by a rough, wooden table, and presents a mature appear-  ance. His pipe and a pewter jug of liquor, together with a bowl, are beside  him. He holds a glass in his left hand, and with' his right points to it as  though discoursing upon its merits. He wears a soft black hat, and from his  general dress one would readily conclude that he belonged to the peasant  class.  Smith's Catalogue Raisonne, Supplement, page 8i, No. 6.  Collection, Goll van Frankenstein ; also, collection, Pereire.  Signed in lower left-hand corner: "" Ostade, 165 i.""  Panel, 7,25 in. long by 8,5 in. high. ",,,,,Painting,Wood,"7,25 in long x 8,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
300,300,69,YES,Adriaen van Ostade,,69,"""The Skittle Players"" On the outside of a small inn a number of peasants are sitting around a table  drinking. In the doorway of the inn stands a woman, with a child in her arms,  in conversation with a man with a jug in his hand, who is sitting beside the door.  A man with a high soft white hat stands talking to one in a red jacket near the  centre of the picture, and to the left a peasant is playing at skittles, while  another watches him. In the background are a number of figures seated at a  table under a tree by the side of the inn, and in the distance are other figures,  a horse and cart beside a large tree, beyond which the church spire rises.  Signed in the lower right-hand corner on bench : ""A. V. Ostade.""  Panel, 27,5 in. long by 25,5 in. high. ",,,,,Painting,Wood,"27,5 in long x 25,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
304,304,70,YES,Adriaen van Ostade,,70,"""Dancing To Music"" This scene exhibits a large grange or barn, in which eleven persons are assem-  bled, two of whom are seated at a table in the centre. One of them, wearing  a green jacket and cap, sits with his back to the spectator, and has his arm  resting on the back of his chair. The attention of the gathering is directed  to two musicians, one of whom is an old man playing a ""hurdy-gurdy,"" and  the other, a boy, playing a fiddle. On the opposite side of the group a  half-tipsy individual is sedated, leaning forward to light his pipe. Another  man at the table faces to the front and wears a blue jacket ; and still another  stands with his hat raised in his hand. A dog, a pipe, and a variety of objects  are introduced to give picturesque effect.  Collection Peter Loquet, Amsterdam, 1783; Collection Calonne, 1788;  Collection Montaleau, 1802; Collection Van der Schrieck-Louvain, 1861;  Collection Viardot, 1872; engraved by P. Le Rat; also, by Gilbert, for the  Gazette des Beaux Arts; exhibited at the Royal Academy, 1880; Smith's  Catalogue, Supplement No. 57.  Signed in lower right-hand corner: ** A. van Ostade, 1643.""  Panel, 23,5 in. long by 17,25 in. high. ",,,,,Painting,Wood,"23,5 in long x 17,25 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
308,308,71,YES,Adriaen van Ostade,,71,"""Dancing In The Barn"" The picture here presented is the interior of a large barn, in which is gathered  a bevy of merry-making boors. A man and woman are dancing to the music  of a bagpipe, which is being played by a musician who occupies an elevated  position to the right. In the foreground a man, wearing a blue coat, is hold-  ing a jug in his left hand, and offering a glass of beer to a companion, who  raises his hat as he accepts it. A woman, partly hidden, stands beside them.  She wears a red dress and white cap. A chair is also shown in the foreground,  and beside it a little boy, wearing a large hat, is sitting. To the left, and near  the wall, are three men, drinking and smoking. In the doorway, through  which can be seen the landscape, three figures are shown.  From collection of Prince Demidoff.  Signed in lower left-hand corner : ""A. Ostade, 1652.""  Panel, 24 in. long by 25,25 in. high. ",,,Landscape,,Painting,Wood,"24 in long x 25,25 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
312,312,72,YES,Adriaen van Ostade,,72,"'Interior Of Room With Men Drinking"" The picture shows the interior of a room with six figures, - three in the  foreground to the left and three in the background to the right. Two of the  men in the foreground are sitting. One of them is smoking, and the other, who  is without a hat, holds up a glass of wine in his left hand ; the third leans  over a bench or table, and is evidently in conversation with him. Four of the  men wear hats. A window is shown in the rear, and a cage with a black bird  in it hangs in the middle of the room. A door opens to the left.  Signed in the lower left-hand corner : "" A. Ostade.""  Panel, 10,5 in. long by 11,5 in high. ",,,,,Painting,Wood,"10,5 in long x 11,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
315,315,73,NO,Isack van Ostade,Dutch School,73,"Born in Haarlem, baptized June 2, 1621 ; died there, buried October i6, 1649. Genre and landscape painter. Brother and pupil of Adriaen. His pictures which are of most  value are his landscapes, with figures, in which his individuality found scope. ",,,Landscape,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
316,316,73a,YES,Isack van Ostade,,73a.,"""Interior Of A Stable"" A large rustic stable, with a fully saddled bay horse as a central figure, is here  presented. Near the horse is a rack containing fodder, and a little to the rear  is a servant at work with a shovel. In the background, to the left, a peasant's  cart is shown against the wall ; also a goat on a beam of wood lying on the  ground. Around are a number of accessories, including a pitchfork, a tun, a  bucket, and a basket, etc.  Collection, Alb. Levy, London ; also, collection. Baron de Beurnonville, Paris.  Signed in lower centre: "" Isack van Ostade, 164.""  Panel, 23 in. long by 15,75 in. high. ",,,,,Painting,Wood,"23 in long x 15,75 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
320,320,74,YES,Isack van Ostade,,74,"""The Itinerant Musician"" In this picture the artist has presented a number ot peasants congregated  around the door of their cottage home, waiting for their frugal meal. They  are supposed to have returned from a day's work, and noticing a passing  musician with a Hute, they stop him. He seeks to entertain them with the  melody of his instrument, and they seem to listen attentively. In the fore-  ground is a little boy wearing a green coat and a large hat. In front of him  is another boy with a pink coat ; to the left a man sits upon the ground and a  woman stands in the doorway of the cottage. Two chickens are feeding in  the vicinity, and a horse is drinking at a water-trough behind the group. In  the distance a horse, cart, and several men are shown. A large tree stands  in the centre of the picture.  Signed in lower left-hand corner: "" Isack van Ostade, 1648.""  Panel, 26 in. long by 18 in. high.  Engraved by Gilbert in the Gazette des Beaux-Arts, 1871. Exhibited Royal  Academy, London, 1880. Described in Smith's Catalogue Raisonne, Part I,  page 135, No. 1 01, supplement No. ^y. From Collections M. Peter Locquet,  Amsterdam, 1783; M. de Calonne, Paris, 1788; M. Montaleau, Paris, 1802;  M. Van den Schrieck, Louvain, 1861; M. Viardot, Paris, 1863; Max Kann,  Paris. ",,,,,Painting,Wood,26 in long x 18 in high,,,1910/04/05,,,,,,,,,Paintings by Old Masters
323,323,75,NO,Joachim de Patinir,Flemish School,75,"Born either at Dinant or Bouvignes, on the opposite bank of the Meuse, about 1490; died before the 5th of October, 1524, and after 15 19. He has been called the inventor  of landscape painting so far as the North is concerned, but that is an exaggeration. It  would be truer to say that he was the first Fleming to make his landscapes distinctly  more important than the figures with which they are peopled. ",,,Landscape,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
324,324,75a,YES,Joachim de Patinir,,75a.,"The Apostles After The Crucifixion Worshiping In A Cave"" The picture represents the apostles after the crucifixion worshiping in a cave.  There are five within and seven without the cave. To the right, one of them  is seen sitting on a rock, while beside him another dressed in a yellow gown is  seen to weep. On the left are four in a group and one about to enter the cave.  On the top of the picture the Ascension is represented. Christ is robed in a  blue gown, the shoulders of which are supported by angels. Angels also sur-  round and support him from beneath. In the top part of the picture sits God,  the Father, robed in white and red, and Christ, the Son, in a garment of light  red. In the distance is a landscape with a river flowing through it on the right.  In circles at the upper left-hand and right-hand corners the Birth and Resurrec-  tion are depicted.  In the lower right-hand corner is a crest with the following inscription :  "" IsTz GvoT So Gebs Go.""  Panel, 23 in. long by 24,5 in. high. ",,,Landscape,,Painting,Wood,"23 in long x 24,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
327,327,76,NO,"Bernardino Di Betti, Pinturricchio","- Little Painter, Umbrian School",76,"Born in Perugia, supposedly about 1454; died at Sienna, December 11, 1513. His real name was Bernardino di Betti Biagi, sometimes also called Lo Sordicchio, on ac-  count of his deafness and the insignificance of his personal appearance. He almost  always painted in distemper, and worked in the spirit of the Umbrian painters. He was  all his life, says Charles Blanc, what Raphael was at twenty years old. In 1484 Pintur-  ricchio became the partner of Perugino at Rome and worked with him in the Sistine  Chapel. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
328,328,76a,YES,"Bernardino Di Betti, Pinturricchio",,76a.,"Portrait Of C^SAR BORGIA"" 1 It is a portrait painted in half size, showing the bust of a man with long wav-  ing locks drooping on his shoulders. His jacket is of red stuff bound with  black at the top, and above a white undergarment tied with a small cord. A  fur cape rests upon his shoulders. On his head is a black hat turned up at the  edge, with a white feather in it. Through the window is seen a landscape in  the distance.  From the collection of Baron Lazzaroni in Rome.  Signed in the upper right-hand corner: "" ^TATP SV^E XXXII.""  Panel, 8,5 in. long by 11,5 in. high. ",,,Landscape,,Painting,Wood,"8,5 in long x 11,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
331,331,77,NO,Paulus Potter,Dutch School,77,"Born at Enkhuysen, 1625; baptized November 20, 1625; died in Amsterdam, and buried January 17, 1654. Animal and landscape painter. Son and pupil of Pieter  Potter. Family settled at Amsterdam in 1631, and in the following year Paulus went to  study painting at Haarlem, under Jacob de Wet, the Elder. ",,,Landscape,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
332,332,77a,YES,Paulus Potter,,77a.,"""The Red Bull"" A vouNG bull, standing a little obliquely from the front, with head turned  aside, is the central figure. In the distance, and a little to the right, is a vil-  lage, the church spire of which is the most prominent object. On the back  of the panel is a writing in black, which is almost obliterated, but so much of  it as can be distinguished, after translation, conveys the idea that this picture  is the model of a bull which was painted for the Prince of Orange by P.  Potter, 1648.  From the Hecht Collection, Paris,  Signed in the lower left-hand corner: "" P. Potter.""  Panel, 10,5 in. long by 5,5 in. high. ",,,,,Painting,Wood,"10,5 in long x 5,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
336,336,78,YES,Paulus Potter,,78,"''Landscape With Cattle And Figures"" To the right are two cows lying down, and in the middle foreground a red  cow drinking from a pool of water. Two other cow^s are on the hill to the  left. One stands grazing ; the other is lying down. A man and a woman are  seated on the grass, and to the left a woman carrying a jug is coming down  the hill. A row of five trees to the left on the middle background.  This picture is mentioned in Smith's Catalogue, part 5, page 144, number 64,  as follows : '* A Dutch gentleman and his wife enjoying the air of a fine  summer evening. The view represents a hilly meadow with a pond in front at  which a red cow is drinking. A row of tall elms adorn the summit of the hill,  near which are seated the probable owner of the farm and his wife (these are  supposed to represent the artist and his wife). On the right is a cow grazing,  and behind them is another cow on the farther side of the pond. A peasant  woman bearing a pitcher in her hand is approaching in front. At the bottom  of the hill, at the opposite side, are seen two cows lying down together. A  gleam of sun from a partially overcast sky evinces by the lengthened shadow^s  the decline of day. Formerly in the celebrated collection of M. Lormier. Col-  lection of Earl of Radstock, 1826. Exhibited in the British Gallery, 1821.  Now in the possession of Messrs. Woodburn.""  Signed in the lower right-hand corner: "" Paulus Potter f. 1650.""  Panel, 16 in. long hs 14 in. high.  Purchased from Thomas Agnew & Sons, London, 1901. ",,,Landscape,,Painting,Wood,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
339,339,79,NO,Andreas Previtali,Venetian School,79,"Born at Bergamo about 1480 (?) ; died there (?) about November 7, 1528. At the close of the fifteenth century he was known in Venice as Andreas Cordeliaghi or Cordelia. He  assumed the name of Previtali about 1515. His works are frequently confounded with  those of Catena and Basaiti. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
340,340,79a,YES,Andreas Previtali,,79a.,"""Virgin And Child"" The Virgin is sitting in the centre of the picture with the infant Christ on her  left knee. She is looking towards her right, where the donor is kneeling in an  attitude of supplication to the Christchild. The Virgin touches the top of the  donor's head with the ends of her fingers, as if she were bestowing a blessing.  In the background there is a landscape and part of the tower of an old castle ;  mountains in the distance. The Virgin wears a richly figured cloth over her  head, and the color of the dress is deep red. A dark cloak is thrown over her  person. To the spectator's right are the following words and letters : "" An-  dreas. C. A. Disci. lovanis Belini P."" This picture was formerly in the pos-  session of Count Picho Antonio Porto.  Panel, 30,5 in. long by 23,25 in. high. ",,,Landscape,,Painting,Wood,"30,5 in long x 23,25 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
343,343,80,YES,Raphael Sanzio,Umbrian and Roman Schools,80,"Born at Urbino, April 6, 1483 ; died in Rome, April 6, 1520. Pupil of Timoteo Vite. Early in the year 1500, was apprentice to Perugino. He was the second son and third  child of Giovanni Santi and his wife, Magia Ciarla. His name of Sanzio is italianized  from Sanctius, which in its turn was latinized from the patronymic Santi. His family  name was Sante, Santi, Sanctius, or Sanzio. He went to Florence in 1504 and remained  there perhaps a year, during which he painted a number of important pictures. In 1506,  at the time when Leonardo da Vinci and Michelangelo were engaged upon their cele-  brated cartoons for the great hall of the Palazzo Vecchio, Raphael studied both, but  especially those of Leonardo, who, together with Fra Bartolommeo, exercised great influ-  ence over him during his two years' residence in that city, which, with the exception of  a short visit to Urbino and Bologne, lasted until the summer of 1508. During the  twelve years of his life at Rome in the service of Julius H. and Leo X. Raphael  accomplished a prodigious amount of work as painter, architect, sculptor, and archceolo-  gist. Leo X. made him inspector of all marbles dug up at Rome, commissioned him to  make plans and elevations of her ancient edifices, and on the first of August, 1514,  appointed him to succeed Bramante as head architect of St. Peter's. ",,,,,Sculpture,Marble,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
344,344,80a,YES,Raphael Sanzio,,80a.,"""The Holy Family And The Sparrow"" The infant Christ is here typitied sitting on the lap of the Virgin mother,  looking with fear at the bird which the infant St. John, who is being held by  St. Elizabeth, is holding up to him. The sparrow seems possessed of a war-  like temperament, and the infant Saviour appears intuitively to shrink from it.  Both infants are nude. The Virgin is attired in a red, sleeveless dress, with  white underwaist. A blue robe is thrown around her from her waist down.  One bare foot shows from under the robe. St. Elizabeth is in a half-kneeling  posture, and has a light brown robe about her. The right landscape shows a  ruined temple, with trees, houses, and a church in the distance.  Belonged to the family Crossibili de Ferrare. From the collection of Prince  Paskewitch.  Panel, 7,625 in. long by 9,75 in. high. ",,,Landscape,,Painting,tempera,"7,625 in long x 9,75 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
347,347,81,NO,Rembrandt van Rijn,Dutch School,81,"Born near Leyden, July 15, 1607; died at Amsterdam, October 8, 1669. Pupil of Jacob van Swanenburch, Pieter Lastman, and Jacob and Jan Pinas. His father, Har-  men Gerritsz, a miller, and his mother, Neeltgen Willems van Suyddtbroek, daughter  of a baker, lived in a house situated in the Weddersteeg, near the Witte Poort, and  there Rembrandt was born. Having little taste for books and a strong natural love of  art, he naturally took to his work. He never left Holland, and in it visited only Dord-  recht, Friesland, Gueldres, and perhaps Cleves. With his first wife, Saskia van Ulen-  burgh, whom he married in 1634, and who died in 1642, he lived very happily, and  the portraits of her at Cassel, Dresden, and Berlin are among his finest works. They  lived in a house at Amsterdam in the Breedstraat, where he collected many fine Italian  and Dutch pictures, glass, armor, porcelain, etc. For fourteen years after Saskia's  death, Rembrandt and his son Titus lived in this house, at the end of which time - as  his affairs were hopelessly involved - if was sold by auction with its contents. For the  remainder of his days the great artist lived in comparative poverty. ",,,Portrait,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
348,348,81a,YES,Rembrandt van Rijn,,81a.,"""Philemon And Baucis"" This subject was doubtless taken from the works ot Dryden by the master;  but Dryden, no doubt, had access to Ovid, where the suggestion was first found.  The story of the picture is that Jupiter and Mercury were one day wandering  through Phrygia, asking for shelter among the natives, but, as foreign intruders,  they received very little attention. Only a poor old couple, Philemon and  his wife Baucis, hospitably invited them into their humble dwelling, where  they served the finest fruit they could find and their only goose - which  they had fattened with so much care - with great promptitude. During the  repast the gods made themselves known to their hosts, and asked them what  reward they wished for their excellent reception. The old couple knelt down  and begged that they both should die at the same time. Their wish was  granted, and Baucis was metamorphosed into a linden and Philemon into an  oak. Posterity has preserved their names coupled together as the symbol of  matrimonial afi^ection. In treating the subject, Rembrandt has presented the  scene almost entirely in clare-obscure. A single light brightens the interior of  the peasants' cottage, the head of Mercury being in the dark and forming a vivid  contrast. On the left a fire is burning on the hearth in the background. Jupiter's  face is brilliantly illuminated ; the light also falls on his dazzling dress.  Mentioned by Dr. Bode in his catalogue of certified genuine pictures by Rem-  brandt. Also in Smith's Catalogue, vol. vli. No. 194.  Mezzotinted by Thomas Watson, London, 1772.  Signed in lower left hand corner: "" Rembrandt f, 1658.""  Panel, 27,5 in. long by 24,5 in. high. ",,,,,Painting,Wood,"27,5 in long x 24,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
352,352,82,YES,Rembrandt van Rijn,,82,"""Portrait Of A Rabbi "" The Rabbi's face is turned a little to the left. His eyes are bluish gray, and  the eyelids show the pinkish tint of old age. His nose is prominent, and his  lips compressed. A heavy, full gray beard surrounds his face, and he also  wears a mustache. A turban of black velvet, ornamented in front with a  brooch, adorns his head, and around his neck a medallion is suspended. A  dark cloak, trimmed with brown fur, hangs from his shoulders. His breast,  which is partly covered with a crimson vest, ornamented with gold braid set  with jewels, is also adorned with a fine linen tunic. His complexion is fiorid  and shows perfect health. This picture is from the collection of Prince Demi-  ) doff, and was purchased by him at sale of Sir Philip Miles, Leigh Court, 1884,  in whose possession it was for many years. Mentioned in "" Catalogue His-  torique et Descriptif des Tableaux et Dessins de Rembrandt,"" by Eugene Du-  tuit, p. 47.  Panel, 20 in. long by 24 in. high. ",,,Portrait,,Painting,Wood,20 in long x 24 in high,,,1910/04/05,,,,,,,,,Paintings by Old Masters
